23:22:57:   FROM: 1376498188 | /get_vacancy Halls sent
23:22:59:   FROM: 1376498188 | /Shrem_Museum_of_Art Weekend...
23:23:26:   FROM: 1376498188 | /Storer_HallWeekend...
23:23:33:   FROM: 1376498188 | /get_schedule Halls sent
23:23:36:   FROM: 1376498188 | /The_Grove_Surge_IIIRooms sent - Schedule
23:23:41:   FROM: 1376498188 | /1283
23:23:46:   FROM: 1376498188 | /1309
11:26:05:   FROM: 1376498188 | /get_schedule Halls sent
11:26:08:   FROM: 1376498188 | /Temporary_Classroom_3Rooms sent - Schedule
11:26:11:   FROM: 1376498188 | /Temporary_Classroom_3_Hall
11:26:13:   FROM: 1376498188 | /RM03
11:27:04:   FROM: 1376498188 | /Roesler_HallRooms sent - Schedule
11:27:30:   FROM: 1376498188 | /66
12:41:54:   FROM: 1376498188 | /get_schedule Halls sent
12:43:45:   FROM: 1376498188 | /get_current Halls sent
12:45:43:   FROM: 1376498188 | /get_current Halls sent
12:46:11:   FROM: 1376498188 | /get_current Halls sent
12:47:12:   FROM: 1376498188 | /get_vacancy Halls sent
12:47:44:   FROM: 1376498188 | /get_vacancy Halls sent
12:49:00:   FROM: 1376498188 | /get_schedule Halls sent
12:49:02:   FROM: 1376498188 | /Wright_HallRooms sent - Schedule
12:49:04:   FROM: 1376498188 | /222
12:49:07:   FROM: 1376498188 | /get_vacancy Halls sent
12:50:02:   FROM: 1376498188 | /get_schedule Halls sent
12:50:04:   FROM: 1376498188 | /Wright_HallRooms sent - Schedule
12:50:05:   FROM: 1376498188 | /Wright_Hall_Hall
12:50:10:   FROM: 1376498188 | /get_vacancy Halls sent
13:06:24:   FROM: 1376498188 | /get_vacancy Halls sent
13:06:29:   FROM: 1376498188 | /get_vacancy Halls sent
13:06:35:   FROM: 1376498188 | /Olson_Hall Empty Halls sent
13:20:45:   FROM: 1376498188 | /get_vacancy Halls sent
13:22:28:   FROM: 1376498188 | /get_vacancy Halls sent
13:23:03:   FROM: 1376498188 | /get_vacancy Halls sent
13:23:05:   FROM: 1376498188 | /Wright_Hall Empty Halls sent
13:23:11:   FROM: 1376498188 | /get_current Halls sent
13:24:19:   FROM: 1376498188 | /get_current Halls sent
13:25:08:   FROM: 1376498188 | /get_current Halls sent
11:31:19:   FROM: 1376498188 | /Olson_Hall Ongoing classes sent
11:31:49:   FROM: 1376498188 | /help Start Options
11:40:51:   FROM: 1376498188 | /get_current Halls sent
11:40:55:   FROM: 1376498188 | /Tupper_HallNo ongoing classes in Tupper Hall
11:40:58:   FROM: 1376498188 | /Wickson_Hall Ongoing classes sent
11:42:49:   FROM: 1656922230 | /get_current Halls sent
11:42:55:   FROM: 1656922230 | /Meyer_Hall Ongoing classes sent
11:44:22:   FROM: 1376498188 | /Veihmeyer_Hall Ongoing classes sent
11:47:09:   FROM: 1376498188 | /Storer_Hall Ongoing classes sent
11:47:18:   FROM: 1376498188 | /Olson_Hall Ongoing classes sent
11:58:34:   FROM: 1376498188 | /get_vacancy Halls sent
11:58:44:   FROM: 1376498188 | /Online_Learning_Activity Empty Halls sent
11:58:47:   FROM: 1376498188 | /Olson_Hall Empty Halls sent
11:58:53:   FROM: 1376498188 | /get_current Halls sent
11:58:58:   FROM: 1376498188 | /Olson_HallNo ongoing classes in Olson Hall
11:59:05:   FROM: 1376498188 | /The_Grove_Surge_IIINo ongoing classes in The Grove Surge III
11:59:07:   FROM: 1376498188 | /Voorhies_HallNo ongoing classes in Voorhies Hall
11:59:08:   FROM: 1376498188 | /Wickson_HallNo ongoing classes in Wickson Hall
11:59:09:   FROM: 1376498188 | /Veihmeyer_HallNo ongoing classes in Veihmeyer Hall
11:59:10:   FROM: 1376498188 | /Veihmeyer_HallNo ongoing classes in Veihmeyer Hall
11:59:10:   FROM: 1376498188 | /Wright_HallNo ongoing classes in Wright Hall
